title,geoLocations,subjects,images,nonPresentAuthors,year
"Logma-prosessori hakkuuaukealla k\u00e4sittelem\u00e4ss\u00e4 koivunrunkoa Korsn\u00e4s-Marma Ab:n ty\u00f6maalla Ruotsissa Gimon hoitoalueella", "POINT (18.1863213 60.1720864)","mets\u00e4koneet","http:/finna.fi/Cover/Show?id=lusto.M011-347529&index=0&size=large",,"1973"
"Jomalan kirkonkyl\u00e4","POLYGON ((19.4234234 59.956391, 19.702227 60.1223751, 19.8129893 60.1492334, 19.800762 60.1699697, 19.8491352 60.1741222, 19.843888 60.1880736, 19.8940785 60.1865445, 19.9253104 60.2101775, 20.0031348 60.1823634, 20.0488052 60.1946211, 20.0512325 60.1763892, 20.1319276 60.1427734, 20.0913522 60.1362913, 20.0436602 60.0916885, 19.9736992 60.0883613, 19.9601008 60.1291572, 19.9196364 60.1236411, 19.9291276 60.0470184, 19.8929566 60.0428741, 19.8959206 60.0267839, 19.658269 59.7916833, 19.4234234 59.956391))","hirsirakennukset, aidat, kirkkorakennukset, tiet, hatut, miesten puvut, olkikatteet, Jomala","http://finna.fi/Cover/Show?id=musketti.M012%3AKK392%3A1&index=0&size=large","St\u00e5hlberg K. E.",
